listing_id,product_name,category,seller_id,price,stock_quantity,listing_date
L001,AeroGlow LED Desk Lamp,ELECTRONICS,InfluencerX,29.99,150,2023-01-01
L002,QuantumCore Gaming Mouse,ELECTRONICS,TechGuruTom,75.5,80,2023-01-15
L003,Silk & Suede Throw Pillow,HOMEWARE,CozyHome,25.0,200,2023-02-01
L004,VividBloom Floral Scarf,FASHION,StyleBySophie,19.99,300,2023-02-20
L005,Gourmet Espresso Beans (1kg),GROCERIES,TheDailyGrind,22.0,500,2023-03-01
L006,The Art of Data Engineering,BOOKS,InfluencerX,49.95,120,2023-03-15
L007,Zenith Wireless Earbuds,ELECTRONICS,TechGuruTom,129.0,100,2023-04-10
L008,Hand-Woven Area Rug,HOMEWARE,CozyHome,199.5,40,2023-04-20
L009,Urban Explorer Backpack,FASHION,StyleBySophie,89.99,180,2023-05-05
L010,Organic Quinoa (500g),GROCERIES,TheDailyGrind,8.5,1000,2023-05-15
L011,Python for Pros,BOOKS,InfluencerX,39.99,250,2023-06-01
L012,SmartPower+ Portable Charger,ELECTRONICS,TechGuruTom,45.0,300,2023-06-20
L013,Minimalist Wall Clock,HOMEWARE,CozyHome,35.0,150,2023-07-05
L014,Classic Denim Jacket,FASHION,StyleBySophie,65.0,220,2023-07-15
L015,Artisanal Honey Jar,GROCERIES,TheDailyGrind,15.99,400,2023-08-01
L016,Cloud Computing Explained,BOOKS,InfluencerX,42.5,180,2023-08-20
L017,Nova Noise-Cancelling Headphones,ELECTRONICS,TechGuruTom,249.99,75,2023-09-05
L018,Scented Soy Candle Set,HOMEWARE,CozyHome,32.0,300,2023-09-15
L019,Leather Crossbody Bag,FASHION,StyleBySophie,120.0,90,2023-10-01
L020,Premium Olive Oil,GROCERIES,TheDailyGrind,18.5,600,2023-10-20
L021,The SQL Masterclass,BOOKS,InfluencerX,59.0,100,2023-11-05
L022,4K Streaming Stick,ELECTRONICS,TechGuruTom,49.99,400,2023-11-15
L023,Ceramic Planter Pot,HOMEWARE,CozyHome,18.0,250,2023-12-01
L024,Chunky Knit Beanie,FASHION,StyleBySophie,24.5,350,2023-12-20
L025,Gluten-Free Pasta,GROCERIES,TheDailyGrind,5.99,800,2024-01-05
L026,Data Science from Scratch,BOOKS,InfluencerX,52.0,130,2024-01-15
